item_category_code,delivery_to_return_days,return_reason_code,return_reason_is_damaged,customer_message_length_bucket,prior_returns_count,order_value_band,order_value_band_high,evidence_count,hours_to_first_customer_evidence,merchant_document_count,target
99,30,1,1,4,2,3,0,3,7.0,0,0
4,1,5,0,4,4,1,0,1,5.0,0,1
2,2,2,0,4,1,1,0,3,8.0,2,1
2,18,99,0,4,4,2,0,0,0.0,0,1
99,13,99,0,4,2,2,0,0,0.0,2,0
99,18,1,1,4,0,1,0,1,48.0,0,0
99,6,5,0,4,4,3,0,3,41.0,1,1
99,7,99,0,4,2,4,1,1,11.0,2,0
99,23,5,0,4,2,2,0,2,10.0,0,0
2,4,99,0,4,2,3,0,3,6.0,2,0
2,22,4,0,4,2,4,1,3,59.0,0,1
99,21,99,0,3,5,4,1,0,0.0,2,1
99,22,2,0,4,2,1,0,2,3.0,1,0
99,1,5,0,4,3,4,1,2,17.0,2,1
99,2,2,0,4,3,4,1,3,52.0,2,1
99,8,1,1,4,4,2,0,2,49.0,0,1
99,7,2,0,4,1,3,0,0,0.0,1,0
99,0,99,0,4,2,3,0,3,69.0,1,1
99,22,5,0,4,1,4,1,0,0.0,1,0
99,12,1,1,4,3,2,0,3,52.0,0,1
2,5,99,0,4,3,2,0,2,7.0,0,1
99,3,99,0,4,4,4,1,0,0.0,0,1
2,20,1,1,4,1,4,1,2,47.0,1,0
2,15,4,0,4,3,3,0,2,11.0,0,1
99,26,4,0,4,3,2,0,0,0.0,0,0
99,17,99,0,2,5,3,0,2,12.0,2,0
99,11,2,0,4,1,4,1,2,29.0,2,0
99,25,1,1,4,5,1,0,1,67.0,1,0
99,15,4,0,4,2,1,0,1,45.0,1,0
99,3,5,0,4,1,1,0,3,26.0,1,0
2,29,5,0,4,3,2,0,0,0.0,2,1
4,28,5,0,4,3,4,1,3,43.0,0,1
2,30,2,0,3,5,4,1,1,22.0,0,1
99,4,2,0,4,5,1,0,2,20.0,2,0
99,25,1,1,4,0,3,0,1,56.0,0,0
99,9,5,0,4,1,2,0,1,42.0,1,0
99,29,2,0,4,0,2,0,3,67.0,1,0
2,16,2,0,2,4,2,0,3,24.0,2,1
99,15,99,0,4,1,4,1,0,0.0,1,0
99,28,4,0,4,0,1,0,0,0.0,0,0
4,16,4,0,4,0,2,0,0,0.0,0,0
99,8,4,0,4,5,2,0,3,65.0,0,1
4,4,4,0,4,3,1,0,0,0.0,1,0
99,7,1,1,4,5,2,0,0,0.0,0,1
4,20,2,0,4,5,1,0,1,33.0,0,1
4,28,99,0,4,3,4,1,1,29.0,0,1
99,13,1,1,4,2,3,0,2,41.0,0,0
99,14,99,0,4,4,3,0,0,0.0,1,1
2,30,1,1,3,4,3,0,0,0.0,0,1
99,1,5,0,4,2,2,0,2,17.0,1,0
99,29,1,1,4,4,2,0,3,42.0,0,1
2,28,4,0,3,3,1,0,2,3.0,2,0
2,27,5,0,4,4,1,0,0,0.0,1,0
99,17,2,0,4,2,1,0,2,17.0,0,0
99,8,99,0,3,1,2,0,1,26.0,1,0
2,14,4,0,4,2,1,0,1,35.0,1,0
99,0,5,0,4,0,1,0,1,66.0,1,1
99,26,4,0,4,5,2,0,3,70.0,1,1
2,10,2,0,4,1,1,0,1,52.0,1,0
2,20,5,0,4,0,3,0,3,21.0,0,0
99,7,2,0,4,4,3,0,0,0.0,1,1
99,0,2,0,4,3,1,0,2,43.0,2,1
4,6,1,1,4,2,4,1,1,1.0,1,0
2,16,4,0,4,2,1,0,1,65.0,0,0
99,12,2,0,2,1,1,0,3,3.0,1,0
4,30,2,0,4,4,3,0,1,50.0,1,1
99,19,5,0,4,5,2,0,0,0.0,2,0
99,24,2,0,4,4,1,0,0,0.0,2,0
4,1,99,0,4,0,1,0,2,14.0,1,0
2,0,5,0,4,5,1,0,1,63.0,1,1
99,29,1,1,4,5,4,1,0,0.0,2,1
99,25,2,0,3,2,4,1,2,31.0,2,0
99,27,1,1,4,3,2,0,0,0.0,1,1
99,19,99,0,4,0,2,0,2,33.0,2,0
2,15,2,0,3,0,4,1,3,35.0,2,0
4,22,1,1,4,2,2,0,2,60.0,1,0
4,2,1,1,4,2,4,1,0,0.0,1,1
2,12,2,0,4,2,3,0,1,10.0,2,0
99,4,2,0,4,2,4,1,2,15.0,2,0
4,12,5,0,2,3,3,0,1,1.0,1,0
2,4,4,0,4,5,1,0,2,49.0,1,1
2,24,4,0,4,2,3,0,3,16.0,0,1
4,2,4,0,4,2,1,0,3,10.0,1,0
99,3,5,0,3,2,3,0,2,20.0,0,0
4,24,99,0,4,1,2,0,3,4.0,2,0
99,2,4,0,3,5,4,1,3,58.0,2,1
4,29,4,0,4,0,3,0,1,22.0,1,0
4,8,99,0,4,2,4,1,3,31.0,1,0
99,5,5,0,4,0,2,0,0,0.0,0,0
99,29,2,0,4,3,2,0,3,55.0,0,1
99,5,4,0,4,0,3,0,0,0.0,1,0
99,6,2,0,2,4,4,1,3,50.0,1,1
99,10,2,0,3,2,2,0,3,36.0,2,0
4,8,5,0,4,0,3,0,3,52.0,2,0
4,4,1,1,2,0,1,0,3,61.0,2,0
2,29,2,0,4,3,2,0,3,58.0,0,1
2,16,1,1,4,1,2,0,3,11.0,2,0
99,18,99,0,2,1,4,1,2,17.0,2,0
99,24,99,0,4,5,2,0,0,0.0,0,1
99,8,4,0,4,3,4,1,0,0.0,0,1
99,30,99,0,4,2,2,0,1,61.0,2,0
99,30,5,0,4,0,4,1,2,8.0,0,0
4,8,1,1,4,0,3,0,3,48.0,0,0
99,13,99,0,4,5,1,0,3,26.0,0,1
4,15,2,0,4,1,3,0,2,25.0,0,0
4,3,1,1,4,2,2,0,1,29.0,1,0
99,1,5,0,4,3,1,0,0,0.0,2,1
99,1,1,1,4,5,1,0,3,58.0,2,1
4,10,1,1,4,1,3,0,1,68.0,2,0
99,23,1,1,4,5,1,0,2,43.0,1,1
99,8,2,0,3,0,4,1,2,54.0,0,0
4,24,2,0,4,2,3,0,3,12.0,0,0
4,29,1,1,4,4,4,1,1,42.0,1,1
2,25,5,0,4,1,1,0,0,0.0,1,0
99,8,4,0,4,0,3,0,0,0.0,2,0
99,30,1,1,2,2,1,0,2,41.0,1,0
4,26,5,0,4,0,3,0,0,0.0,1,0
2,26,4,0,4,3,2,0,1,64.0,0,1
99,7,1,1,4,4,2,0,2,59.0,1,1
2,24,5,0,4,3,3,0,1,53.0,0,1
99,13,1,1,4,1,2,0,0,0.0,1,0
99,13,5,0,4,0,4,1,3,23.0,0,0
99,28,4,0,4,4,3,0,0,0.0,1,0
99,8,2,0,4,2,2,0,1,57.0,0,0
99,9,2,0,4,1,2,0,2,9.0,1,0
2,25,5,0,3,5,2,0,3,5.0,0,1
99,29,1,1,4,3,1,0,0,0.0,1,1
99,19,2,0,4,1,4,1,0,0.0,1,0
99,8,99,0,2,4,3,0,0,0.0,2,1
99,1,4,0,4,1,1,0,2,19.0,0,1
4,23,4,0,4,4,2,0,0,0.0,1,0
99,9,5,0,3,4,1,0,1,5.0,1,0
99,3,5,0,4,3,3,0,1,69.0,0,1
99,9,4,0,4,3,4,1,3,7.0,1,1
4,0,2,0,4,3,1,0,1,51.0,2,1
4,28,99,0,4,3,3,0,3,15.0,0,1
99,24,2,0,4,3,4,1,1,2.0,0,1
99,18,2,0,4,0,2,0,1,19.0,1,0
99,3,1,1,4,0,4,1,3,26.0,1,0
99,1,2,0,4,2,2,0,0,0.0,2,0
99,12,1,1,4,4,4,1,3,24.0,2,1
99,5,2,0,4,4,1,0,2,16.0,0,1
99,26,5,0,2,4,3,0,2,16.0,1,0
99,13,5,0,4,5,4,1,1,55.0,1,1
4,0,99,0,1,1,4,1,3,60.0,0,1
99,25,4,0,4,1,4,1,3,14.0,0,0
99,2,1,1,4,2,3,0,0,0.0,0,1
4,16,2,0,3,5,1,0,0,0.0,2,0
99,19,2,0,4,0,2,0,1,17.0,1,0
99,26,4,0,4,0,4,1,2,21.0,1,0
99,8,99,0,4,1,2,0,3,27.0,2,0
99,11,4,0,2,2,3,0,1,24.0,1,0
2,5,4,0,4,3,4,1,0,0.0,2,1
4,16,4,0,4,4,3,0,2,69.0,2,1
4,11,2,0,4,3,2,0,2,43.0,0,1
99,23,99,0,3,4,3,0,2,67.0,1,1
99,0,5,0,2,5,4,1,1,20.0,1,1
99,11,1,1,3,4,1,0,1,63.0,0,1
99,0,4,0,4,0,2,0,2,39.0,0,1
99,18,5,0,4,3,2,0,1,27.0,1,1
2,0,2,0,4,1,3,0,1,58.0,0,1
99,25,4,0,4,3,4,1,0,0.0,0,1
2,29,1,1,4,4,1,0,3,32.0,0,1
2,0,1,1,4,4,1,0,1,31.0,0,1
99,17,99,0,4,4,4,1,1,53.0,0,1
2,5,5,0,4,4,1,0,2,9.0,1,1
4,27,2,0,4,3,2,0,3,11.0,2,0
99,8,4,0,4,0,1,0,0,0.0,0,0
99,20,2,0,4,2,1,0,3,67.0,1,0
99,0,2,0,4,4,3,0,2,31.0,2,1
99,28,5,0,4,1,4,1,2,31.0,1,0
99,22,99,0,2,4,3,0,0,0.0,1,1
2,12,1,1,3,1,1,0,1,19.0,0,0
2,29,1,1,4,4,1,0,2,19.0,2,0
2,22,1,1,2,1,3,0,0,0.0,2,0
4,26,1,1,4,1,2,0,0,0.0,2,0
2,6,4,0,4,1,4,1,0,0.0,0,0
99,4,5,0,3,0,3,0,1,38.0,1,0
99,11,4,0,4,0,4,1,2,7.0,2,0
99,19,1,1,2,2,3,0,3,4.0,1,0
99,22,2,0,3,3,4,1,1,12.0,2,0
99,16,5,0,4,0,1,0,2,7.0,0,0
99,22,99,0,4,3,2,0,3,45.0,2,0
2,26,1,1,4,2,4,1,1,64.0,0,1
4,17,5,0,4,5,1,0,2,46.0,0,1
99,28,5,0,2,3,2,0,2,27.0,1,0
99,28,99,0,4,3,1,0,3,17.0,2,0
99,18,4,0,4,2,2,0,1,58.0,2,0
4,14,2,0,4,3,2,0,1,17.0,1,0
99,9,99,0,4,2,3,0,1,32.0,2,0
2,7,2,0,4,1,1,0,1,34.0,2,0
99,12,5,0,4,1,3,0,1,39.0,2,0
4,3,1,1,4,1,1,0,2,27.0,1,0
99,27,5,0,4,3,1,0,1,65.0,2,1
99,8,5,0,4,1,4,1,0,0.0,2,0
4,21,4,0,4,1,3,0,1,16.0,1,0
99,22,4,0,3,5,4,1,3,32.0,1,1
99,14,4,0,2,3,1,0,3,67.0,2,0
99,26,99,0,4,3,2,0,0,0.0,0,1
4,22,99,0,4,1,2,0,2,13.0,2,0
99,15,99,0,4,5,3,0,0,0.0,2,1
99,23,1,1,4,3,3,0,1,24.0,1,1
2,1,1,1,4,5,1,0,2,49.0,1,1
99,29,4,0,4,3,4,1,2,34.0,0,1
99,7,1,1,4,4,2,0,3,28.0,0,1
4,20,5,0,4,3,3,0,1,19.0,1,1
99,20,5,0,4,4,3,0,3,46.0,0,1
99,21,4,0,4,3,2,0,3,1.0,2,0
99,9,1,1,4,5,3,0,3,63.0,1,1
99,29,4,0,4,1,2,0,3,8.0,0,0
2,26,2,0,4,4,1,0,0,0.0,2,1
99,9,2,0,4,5,2,0,0,0.0,2,0
99,11,99,0,4,3,1,0,1,52.0,2,0
99,28,99,0,4,5,1,0,2,26.0,1,1
2,26,4,0,4,5,4,1,0,0.0,2,1
2,26,5,0,4,1,4,1,3,64.0,2,0
99,22,99,0,4,1,1,0,1,64.0,0,0
99,26,5,0,4,1,3,0,3,64.0,2,0
2,13,1,1,3,3,1,0,1,47.0,2,1
4,23,5,0,4,5,2,0,0,0.0,2,0
99,6,4,0,4,0,4,1,1,44.0,0,1
4,17,4,0,4,4,1,0,2,56.0,1,0
99,9,4,0,4,2,3,0,3,52.0,1,0
99,20,4,0,4,1,3,0,0,0.0,1,0
99,18,5,0,3,1,1,0,0,0.0,1,0
99,9,5,0,4,3,1,0,0,0.0,0,0
99,29,1,1,4,4,2,0,3,19.0,2,0
99,21,1,1,4,0,4,1,1,13.0,2,0
99,29,4,0,2,0,3,0,2,18.0,1,0
99,13,99,0,2,1,1,0,2,3.0,1,0
4,18,99,0,4,3,4,1,0,0.0,0,1
4,2,99,0,2,3,1,0,3,20.0,1,1
2,20,5,0,4,0,1,0,1,20.0,2,0
2,21,2,0,4,0,4,1,0,0.0,0,0
99,8,1,1,4,0,3,0,1,58.0,2,0
99,22,5,0,4,5,4,1,0,0.0,1,0
2,29,1,1,4,5,1,0,0,0.0,2,1
99,28,2,0,3,0,4,1,3,40.0,1,0
99,1,2,0,4,4,1,0,2,57.0,1,1
4,30,4,0,4,2,3,0,3,62.0,1,0
99,8,4,0,3,2,4,1,2,2.0,0,0
99,12,1,1,4,1,3,0,3,30.0,1,0
99,8,99,0,4,2,2,0,1,6.0,1,0
2,27,99,0,4,2,4,1,3,45.0,2,1
4,6,5,0,4,3,2,0,2,8.0,2,0
2,18,99,0,2,2,3,0,3,59.0,2,0
4,7,99,0,4,0,2,0,2,67.0,1,0
99,6,4,0,4,1,3,0,0,0.0,0,0
4,24,4,0,4,3,1,0,1,32.0,0,1
